Question,Answer
What is the capital of France?,Paris
What is 2 + 2?,4
Who wrote 'Romeo and Juliet'?,William Shakespeare
What is the largest planet in our solar system?,Jupiter
What does HTML stand for?,HyperText Markup Language
What is the boiling point of water in Celsius?,100°C
Who painted the Mona Lisa?,Leonardo da Vinci
What is the smallest prime number?,2
Which country is known as the Land of the Rising Sun?,Japan
What is the chemical symbol for gold?,Au
Who is the author of 'Harry Potter'?,J.K. Rowling
What is the fastest land animal?,Cheetah
Which ocean is the largest?,Pacific Ocean
What is the square root of 64?,8
What year did the Titanic sink?,1912
